"ID","manufacturer","model","model_name","year","body_style","power","ccm","cylinders","steering","transmission","drive","fuel","condition","price"
246831,"Jensen","Interceptor","Interceptor MK III",1975,"Coupe",243,7212,8,"Left (LHD)","Manual","Rear","Petrol","Original",79500
246825,"FIAT","500","Ghia 500 Jolly",1963,"Convertible",16,499,2,"Left (LHD)","Manual","Rear","Petrol","Original",66500
246814,"Citroën","2 CV","2 CV 6 Charleston",1984,"Saloon",21,602,2,"Left (LHD)","Manual","Front","Petrol","Restored",18950
246813,"Honda","S 600","S 600",1966,"Convertible",42,606,4,"Left (LHD)","Manual","Rear","Petrol","Restored",41950
246806,"Porsche","356","356 1500 Speedster",1955,"Convertible",40,1,4,"Left (LHD)","Manual","Rear","Petrol","Restored",459000
246807,"Jaguar","XJ S","XJS 4.0",1995,"Convertible",171,3980,6,"Left (LHD)","Manual","Rear","Petrol","Original",22950
195137,"BMW","Glas","1600 GT",1968,"Coupe",77,1573,4,"Left (LHD)","Manual","Rear","Petrol","Reconstruction",71331
246787,"Mercedes-Benz","SL-Class","190 SL",1956,"Coupe",77,1897,4,"Right (RHD)","Manual","Rear","Petrol","Restored",245000
237348,"Mercedes-Benz","SL-Class","560 SL",1989,"Convertible",169,5547,8,"Left (LHD)","Automatic","Rear","Petrol","Authentic",37500
245905,"Mercedes-Benz","SL-Class","450 SL",1978,"Convertible",132,4,8,"Left (LHD)","Automatic","Rear","Petrol","Authentic",14400
246108,"Datsun","260-Z","260 Z",1974,"Coupe",119,2565,6,"Left (LHD)","Automatic","Rear","Petrol","Original",27850
246105,"MG","T-Type","TD",1953,"Convertible",40,1250,4,"Left (LHD)","Manual","Rear","Petrol","Original",18250
246102,"Mercedes-Benz","SL-Class","SL 500",1999,"Convertible",225,4966,8,"Left (LHD)","Manual","Rear","Petrol","Original",32500
246742,"Porsche","911","911 2.2 S",1971,"Coupe",132,2195,6,"Left (LHD)","Manual","Rear","Petrol","Original",185621
246731,"Jaguar","SS","SS 100  3.5 Litre",1937,"Convertible",92,3485,6,"Right (RHD)","Manual","Rear","Petrol","Restored",722451
246730,"Lancia","Delta","Delta HF Integrale Evoluzione II",1994,"Saloon",158,1995,4,"Left (LHD)","Manual","4WD","Petrol","Original",117595
246696,"Rolls-Royce","Phantom","Phantom VII",2004,"Saloon",338,6749,12,"Right (RHD)","Automatic","Rear","Petrol","Original",70548
246685,"Ford","GT","GT",2018,"Coupe",482,3497,6,"Left (LHD)","Automatic","Rear","Petrol","Original",755729
246679,"Ferrari","250","250 GT Cabriolet Pininfarina",1960,"Convertible",177,2953,12,"Left (LHD)","Manual","Rear","Petrol","Original",2092950
246650,"Pontiac","Catalina","Catalina Safari",1960,"Estate",243,6900,8,"Left (LHD)","Automatic","Rear","Petrol","Original",39900
246677,"Ferrari","365","365 GTB/4 Daytona",1972,"Coupe",259,4390,12,"Right (RHD)","Manual","Rear","Petrol","Original",581369
246635,"BMW","Z8","Z8",2001,"Convertible",294,4941,8,"Left (LHD)","Manual","Rear","Petrol","Original",232544
246630,"BMW","6 Series","635 CSi",1989,"Coupe",155,3430,6,"Right (RHD)","Automatic","Rear","Petrol","Original",58079
246617,"Mercedes-Benz","SL-Class","500 SL",1989,"Convertible",180,4973,8,"Left (LHD)","Automatic","Rear","Petrol","Original",59500
246612,"Porsche","911","911 Turbo 3.0",1977,"Coupe",180,2994,6,"Left (LHD)","Manual","Rear","Petrol","Original",209237
235381,"Trabant","500","500",1962,"Saloon",17,600,2,"Left (LHD)","Manual","Front","Petrol","Restored",9500
246600,"Ferrari","330","330 GTC",1966,"Coupe",221,3967,12,"Left (LHD)","Manual","Rear","Petrol","Restored",565000
246599,"McLaren","675LT","675LT Spider",2017,"Convertible",496,3799,8,"Right (RHD)","Automatic","Rear","Petrol","Original",511552
246596,"Lamborghini","Aventador","Aventador LP 770-4 SVJ Roadster",2020,"Convertible",566,6498,12,"Right (RHD)","Automatic","4WD","Petrol","Original",488297
246582,"Land Rover","Defender","Defender 90 Td5 Soft Top",2005,"4x4",90,2498,5,"Left (LHD)","Manual","4WD","Diesel","Restored",72900
245937,"Porsche","356","356 1300",1951,"Coupe",32,1268,4,"Left (LHD)","Manual","Rear","Petrol","Restored",445000
246564,"Citroën","DS","DS 21 Le Dandy",1965,"Coupe",74,2175,4,"Left (LHD)","Manual","Front","Petrol","Conversion/ Special",287000
232366,"Toyota","Celica","Celica ST",1973,"Coupe",63,1588,4,"Left (LHD)","Manual","Rear","Petrol","Original",29800
246029,"Ferrari","208","208 GTS Turbo",1988,"Convertible",187,1991,8,"Left (LHD)","Manual","Rear","Petrol","Authentic",117500
246277,"Alfa Romeo","Alfetta","Alfetta 2.0",1977,"Saloon",89,2000,4,"Left (LHD)","Manual","Front","Petrol","Original",15900
246316,"Porsche","911","911 Carrera 4 (WTL)",1993,"Coupe",184,3600,6,"Left (LHD)","Manual","Rear","Petrol","Original",215500
246454,"Volvo","P 1800","1800 S",1965,"Coupe",71,1800,4,"Left (LHD)","Manual","Rear","Petrol","Original",10950
245982,"Jaguar","E-Type","E-Type V12",1971,"Convertible",203,5343,12,"Left (LHD)","Manual","Rear","Petrol","Restored",79950
246400,"Maserati","Spyder","Spyder",1993,"Convertible",165,2790,6,"Left (LHD)","Automatic","Rear","Petrol","Original",32900
246408,"BMW","3 Series","318i",1994,"Convertible",85,1796,4,"Left (LHD)","Manual","Rear","Petrol","Original",24950
246417,"Ferrari","308","308 GTB",1976,"Coupe",177,2926,8,"Left (LHD)","Manual","Rear","Petrol","Original",174950
246086,"FIAT","1200","1200 Spyder",1958,"Convertible",40,1221,4,"Left (LHD)","Manual","Rear","Petrol","Original",45000
246101,"MG","Midget","Midget GAN5",1974,"Convertible",51,1275,4,"Left (LHD)","Manual","Rear","Petrol","Original",14900
246098,"Ford","Torino","Torino GT",1970,"Convertible",184,5800,8,"Left (LHD)","Automatic","Rear","Petrol","Original",34950
246079,"Mercedes-Benz","/8","250 CE",1972,"Coupe",110,2500,6,"Left (LHD)","Automatic","Rear","Petrol","Original",18950
